player_id,player_name,mkc_id,country_code,fc,is_host_banned,is_chat_restricted,mmr,base_mmr,peak_mmr,rank_id,times_strike_limit_reached,twitch_link,mogi_media_message_id
267042870333145117,Roxanne,48607,US,,0,0,,,,846497627508047872,0,,,
267393917320691713,HolyShiftKid,20011,US,,0,0,2707,2707,,794263467581374524,0,,,
268461749550710785,alpha,103,DE,,0,0,6624,6806,6944,794262916627038258,0,,,
268726008490885122,Shiba,40133,GB,,0,0,,,,846497627508047872,0,,,
269515169124712449,Ultima,2908,DE,,0,0,4100,3750,4100,794262959084797984,0,,,
269547200474775553,Layne,53234,US,,0,0,,,,846497627508047872,0,,,
271329033843638272,FAHIM,2403,GB,,0,0,2211,2211,,794263467581374524,0,,,
271332223079153685,Pero,6721,IT,,0,0,3395,3395,,794262959084797984,0,,,
272014416231399436,Wainaina,2502,JP,,0,0,3774,3774,,794262959084797984,0,,,
272458070385229826,Oziel,3229,MX,,0,0,3595,3595,,794262959084797984,0,,,
272519950487519234,...CrazyKrisi...,655,DE,,0,0,1119,1000,1215,970028275789365368,0,,,
272614059768283137,Miguel,44099,US,,0,0,2305,2250,2305,794263467581374524,0,,,
273109683475054594,RobertoRK,149,ES,,0,0,3703,3703,,794262959084797984,0,,,
273258315272683520,HoennChamp,3813,US,,0,0,2336,2250,2336,794263467581374524,0,,,
273841987269165056,Orion,49009,NL,,0,0,2167,2167,,794263467581374524,0,,,
274539849002778635,milololo1,23442,CH,,0,0,,,,846497627508047872,0,,,
274670387944488960,GabriYoshi,51740,IT,,0,0,,,,846497627508047872,0,,,
274899084278759424,James,1132,GB,,0,0,6650,6650,,794262916627038258,0,,,
275000042987847682,Glaci,52062,US,,0,0,,,,846497627508047872,0,,,
275327927183474688,caleeeeeeb,55389,US,,0,0,,,,846497627508047872,0,,,
275369566815911948,Rjohn1277,1017,US,,0,0,4805,4805,,794262925098745858,0,,,
275604256256688129,Aradeos,9419,DE,,0,0,3587,3587,,794262959084797984,0,,,
276097444989894668,vesper,307,US,,0,0,4555,4712,4555,794262925098745858,0,,,
276419217580883968,Guti,996,ES,,0,0,3597,3597,,794262959084797984,0,,,
278378748259074048,JusX,37259,CA,,0,0,2306,2306,,794263467581374524,0,,,
278558933876998146,Dkja,57013,FR,,0,0,,,,846497627508047872,0,,,
278956284722544641,Clemy,30885,FR,,0,0,2637,3750,3845,794263467581374524,0,,,
279616723890470915,Kayden21,52671,US,,0,0,,,,846497627508047872,0,,,
279629628107259905,Pommes-Panzer,9126,DE,,0,0,2800,2983,2800,794263467581374524,0,,,
280386616730583040,Long-Cox,3698,US,,0,0,4237,3329,4555,794262959084797984,0,gscorinth7,,
282230140069478401,EHRENLOS,2160,DE,,0,0,7003,6778,7396,794262916627038258,0,,,
282326589339860992,HeatHed494,20670,US,,0,0,2132,2132,,794263467581374524,0,,,
282360550300581889,j3llyzz,30557,US,,0,0,,,,846497627508047872,0,,,
282693954820898837,Juni,21599,US,,0,0,,,,846497627508047872,0,,,
282721930694361088,Luroh,45413,BR,,0,0,467,1000,933,970028275789365368,0,,,
282903271755218944,Titanias,49151,FR,,0,0,,,,846497627508047872,0,,,
282967594091151360,ScarTax,1898,FR,,0,0,3840,3713,4223,794262959084797984,0,,,
282977325535068161,NiGHT,2476,US,,0,0,2985,3167,3177,794263467581374524,0,,,
284906075331756032,Yeff,53900,US,,0,0,804,1000,1116,970028275789365368,0,,,
285119232944111618,zzzzzzz,4632,ES,,0,0,2216,2250,2216,794263467581374524,0,,,
285219222207070219,Bugz817,30630,US,,0,0,881,1000,881,970028275789365368,0,,,
285754110559387648,Shiny-Wooloo,16501,US,,0,0,2337,2305,2355,794263467581374524,0,,,
286258841086197761,novA,4186,US,,0,0,,,,846497627508047872,0,,,
287379388004302848,badmelontaste,4258,US,,0,0,5590,3599,5620,794262925098745858,0,,,
288399178244161547,Waleed,51550,GB,,0,0,,,,846497627508047872,0,,,
288470608935911445,Tristan-AKA-TJ,1992,US,,0,0,2256,2250,2256,794263467581374524,0,,,
289529428411678731,Rod,64,US,,0,0,3253,3750,3783,794262959084797984,0,,,
291612219156725760,Swimper,55173,US,,0,0,,,,846497627508047872,0,,,
292064368995074048,Outer417,18136,CR,,0,0,,,,846497627508047872,0,,,
293100151722213397,Clement,1941,FR,,0,0,,,,846497627508047872,0,,,
293279672047763457,mist,45846,JP,,0,0,,,,846497627508047872,0,,,
293539158654451713,lemon,2649,JP,,0,0,5610,5610,,794262925098745858,0,,,
294068443039268864,SWave150,51561,US,,0,0,,,,846497627508047872,0,,,
295120304563421184,Lufra,57171,DE,,0,0,,,,846497627508047872,0,,,
295131763934494721,ginnan,2185,JP,,0,0,4910,4910,,794262925098745858,0,,,
295175686782582784,Mat,747,FR,,0,0,4869,4869,,794262925098745858,0,,,
295587208814133258,HOG-RIDAAAAAAAAA,9659,GB,,0,0,2038,1999,2130,794263467581374524,0,,,
295663459855630337,Kabkal,4602,ES,,0,0,3514,3531,3514,794262959084797984,0,,,
296745496318443531,silkmoth,6637,US,1988-9493-1488,0,0,4253,4067,5591,794262959084797984,0,,,
297027954700058625,dylanarmstrong,51110,US,,0,0,,,,846497627508047872,0,,,
297428447267913730,Jairby,450,MX,,0,0,2270,2270,,794263467581374524,0,,,
299042516831830017,Chippy,19857,US,,0,0,2122,2250,2162,794263467581374524,0,,,
299605569734443009,Arveal,7494,BE,,0,0,3549,3549,,794262959084797984,0,,,
299606081058111491,WxlfieLL,50876,GB,,0,0,,,,846497627508047872,0,,,
300076342089613312,TSBiggs,47678,US,,0,0,,,,846497627508047872,0,,,
300256415891587073,!--------------,47263,US,,0,0,,,,846497627508047872,0,,,
300947180565299200,Michel,7374,JP,,0,0,5013,5013,,794262925098745858,0,,,
301712368906403841,Mr.Gomi,2122,DE,,0,0,3617,3713,3680,794262959084797984,0,,,
